frame,time,yaw,pitch,roll
1,0.03333333333333333,90.5040053341893,-14.5190782716592,-11.082983112018532
2,0.06666666666666667,120.0203670555122,-35.78395922923897,-36.41649236939884
3,0.1,-222.7046639642076,106.1207639177661,-40.97184444942996
4,0.13333333333333333,-113.43326331775894,273.6107424493095,-258.82468051949184
5,0.16666666666666666,-88.61265496255265,-70.31118099409503,37.308062181478874
6,0.2,246.92625559910198,327.3963563918106,929.1660837568171
7,0.23333333333333334,2560.290259862885,-373.23225655853656,-984.6636069696749
8,0.26666666666666666,-1076.8728658565933,-213.71109381684008,869.6558100261747
9,0.3,-564.227262211495,119.84352288441045,-440.1455781839979
10,0.3333333333333333,-53.735019741411044,145.10909576225646,-81.93302361161821
11,0.36666666666666664,-41.841840128861854,-13.735787657713201,9.53415190240282
12,0.4,-654.2202679394238,249.7829509214814,-95.20431605520596
13,0.43333333333333335,5.216565771760174,35.96827253162121,-39.80589726489801
14,0.4666666666666667,-486.98014991327676,-264.7504573963533,353.9307869050531
15,0.5,-262.53451928270573,160.14677935030858,-108.87056479495534
16,0.5333333333333333,-26.721811349034972,134.618757343667,-88.34142902920581
17,0.5666666666666667,-12.70143454140467,-92.14521737623369,87.58986669718092
18,0.6,-239.02616104409978,724.6522909894065,-718.9312159282446
19,0.6333333333333333,42.9649405333926,46.458391847289356,36.11165575385777
20,0.6666666666666666,-62.51976300498684,765.3796029631691,-712.1036441103463
21,0.7,8.830984735135702,-13.854723768848064,9.671793704925166
22,0.7333333333333333,-40.98489290315528,-43.32148011977829,101.52014405286525
23,0.7666666666666667,36.02958648769348,742.5479371292722,-658.0419933532736
24,0.8,17.03260330336065,99.96583752218942,-49.763715763312476
25,0.8333333333333334,4.386243675638611,-125.68017309437909,118.73776230931699
26,0.8666666666666667,0.6314007143699031,196.23953275213302,-98.17606891017962
27,0.9,75.11877713352392,48.60350919586311,-72.38568284932542
28,0.9333333333333333,-15.838901208188506,21.149902235061408,34.20495382599328
29,0.9666666666666667,20.08472646489992,123.12254361289195,-82.20179110456245
30,1.0,27.63013097226449,-39.26974174825077,41.60706078559813
31,1.0333333333333334,-18.124080599742825,103.44701109623212,-120.24160309759742
32,1.0666666666666667,-31.194109363791082,144.31479283665433,-189.93927632520635
33,1.1,-15.759763562812118,112.5964939408744,-120.34806443326053
