time,yaw,pitch,roll,omega_yaw,omega_pitch,omega_roll
0.0041666666666666,4.753273596094355,13.676106982626584,0.1082752268163349,,,
0.0083333333333333,4.675889093686931,11.861714881712272,0.0147364293956326,-18.57228057778172,-435.4541042194312,-22.449311380968375
0.0125,4.601129777641758,10.063482100628832,-0.0832582605440483,-17.942235850841254,-431.57586746002215,-23.51872558552324
0.0166666666666666,4.530822328520479,8.297164993861285,-0.1864279943425083,-16.873787789107325,-423.916105624218,-24.7607361116308
0.0208333333333333,4.466682483462332,6.577820537549067,-0.2954428221815707,-15.393562813955146,-412.64266951492914,-26.163558681374774
0.025,4.410267436111675,4.9195026226683325,-0.4108951461396838,-13.539611364157583,-397.99629957137296,-27.708557749946923
0.0291666666666666,4.362933246797329,3.3349922813763047,-0.5332747122049626,-11.360205435443161,-380.28248191009277,-29.371095855667363
0.0333333333333333,4.325798759674145,1.8355691304372288,-0.6629480737754166,-8.912276909564206,-359.86155622537564,-31.12160677690875
0.0375,4.299717410225808,0.4308290617215857,-0.8001431158759134,-6.259523867600712,-337.13761649175154,-32.92681010411894
0.0416666666666666,4.285258097694262,-0.8714488729767421,-0.9449389108192292,-3.470235007571087,-312.54670432760344,-34.75099078639636
0.0458333333333333,4.282695931838026,-2.0653852648620887,-1.097260900217558,-0.6149198054967492,-286.5447340524809,-36.55727745559858
0.05,4.292013170301625,-3.1470333106144293,-1.2568811746784976,2.2361372312638212,-259.5955309805596,-38.3088658706252
0.0541666666666666,4.312910139037699,-4.114363818831472,-1.423423438602795,5.015272496657857,-232.15932197209418,-39.97014334183207
0.0583333333333333,4.344825453757374,-4.967205406377318,-1.5963720832668322,7.659675532721915,-204.68198101100148,-41.50767471936858
0.0625,4.386964460502734,-5.7071441118096455,-1.7750846480580755,10.113361618886206,-177.5852893037571,-42.89101554989805
0.0666666666666666,4.438334493682573,-6.337387536211041,-1.9588068532491756,12.328807963161731,-151.25842185633735,-44.0933292458647
0.0708333333333333,4.497785326705015,-6.86259932201137,-2.1466893600465835,14.268199925385975,-126.0508285920778,-45.091801631377514
0.075,4.5640530785065145,-7.288710284772893,-2.337805451026958,15.904260432359688,-102.26663106276496,-45.86786183528956
0.0791666666666666,4.635805832168593,-7.62271276779984,-2.5311689089304474,17.220660878899146,-80.16059592646847,-46.40722989683827
0.0833333333333333,4.71168929221407,-7.872444769767473,-2.725751495036401,18.21203041091419,-59.93568047223134,-46.6998206654283
0.0875,4.790370921683247,-8.046370139669571,-2.920499586421739,18.88359107260252,-41.74208877650345,-46.739541932480954
0.0916666666666666,4.870581131690477,-8.153360709799184,-3.1143497087538545,19.25045040173534,-25.67773683110736,-46.52402935970833
0.0958333333333333,4.951150232323726,-8.202485707514121,-3.3062428698542634,19.336584151979626,-11.78999945158487,-46.05435866409783
0.1,5.031040003496789,-8.202813186918265,-3.4951377306880897,19.173545081534893,-0.07859505699442972,-45.33476660011788
0.1041666666666666,5.109368932068279,-8.163227559245177,-3.68002272186772,18.7989428571581,9.500550641541157,-44.3723978831121
0.1083333333333333,5.185430398327491,-8.09226656602612,-3.859927214091101,18.254751902210725,17.030638372573495,-43.17707813361111
0.1125,5.258703359035118,-7.997980232295716,-4.033931795595845,17.585510569830205,22.628720095296863,-41.761099561138145
0.1166666666666666,5.328855333843452,-7.887813482012884,-4.201177641649612,16.83647395400058,26.44002006788009,-40.139003052904734
0.1208333333333333,5.39573775092933,-7.768513237518396,-4.360874919222898,16.051780100610443,28.632058678676987,-38.327346617588184
0.125,5.459373962184359,-7.646060012581898,-4.512310159391651,15.272690701206928,29.388773984759336,-36.344457640500615
0.1291666666666666,5.519940508731329,-7.525623296002116,-4.654852531764879,14.53597117127305,28.904811979148153,-34.21016936957529
0.1333333333333333,5.577742501230465,-7.411539444586663,-4.787958953693334,13.872478199792447,27.38012433970839,-31.945541262828783
0.1375,5.633184264351715,-7.307310370547087,-4.911177961416756,13.306023149099827,25.01497776949787,-29.57256185362112
0.1416666666666666,5.686736646167251,-7.215621003121142,-5.024152271364168,12.852571635728939,22.00544818222726,-27.11383438737936
0.1458333333333333,5.73890255547344,-7.138373291342429,-5.126619978090266,12.519818233485328,18.5394508268911,-24.59224961426343
0.15,5.790182328891203,-7.076734353046256,-5.21841436969059,12.30714562026295,14.793345191081285,-22.030653984077514
0.1541666666666666,5.84104045585467,-7.031196239706939,-5.299462381706016,12.20595047123232,10.929147201436294,-19.451522883702566
0.1583333333333333,5.891875032141733,-7.001644684524275,-5.369781747511639,12.200298308894896,7.092373243839278,-16.876647793349285
0.1625,5.942991099401079,-6.987434168389531,-5.42947693286345,12.267856142242929,3.4105238723385534,-14.326844484434462
0.1666666666666666,5.99457879341881,-6.987466718089758,-5.478733965469496,12.381046564255836,-0.0078119280544088,-11.821687825451392
0.1708333333333333,6.046696995660183,-7.000272061699902,-5.517814291766972,12.508368537929206,-3.073282466434547,-9.379278311394025
0.175,6.099262964304616,-7.02408707811527,-5.547047812141598,12.615832474664007,-5.715603939688432,-7.01604488991014
0.1791666666666666,6.152048203938184,-7.056932824469225,-5.566825253018667,12.668457512056493,-7.882979124949197,-4.746585810496717
0.1833333333333333,6.204680613776971,-7.096687745327806,-5.577590023826709,12.631778361308822,-9.54118100605936,-2.583544993930139
0.1875,6.25665273174007,-7.141155937742678,-5.579829688898148,12.473308311143631,-10.672366179569119,-0.5375196171451738
0.1916666666666666,6.307335664818832,-7.188129583545341,-5.574067178241382,12.163903938903069,-11.273674992639377,1.3830025576237637
