frame,time,yaw,pitch,roll
0,0.0,-51.07782002082215,-6.142999853419794,-19.8300168406738
1,0.03333333333333333,-48.06101984301584,-6.626969129141767,-20.199449611074417
2,0.06666666666666667,-44.060340941165435,-7.8197677701164,-21.41333269005438
3,0.1,-51.48382973997236,-4.282408972857529,-22.77906083836871
4,0.13333333333333333,-55.26493851723099,4.83794910878612,-31.406550189018436
5,0.16666666666666666,-58.21869368264941,2.4942430756496194,-30.162948116302474
6,0.2,-49.98781849601267,13.407454955376647,0.8092546755914515
7,0.23333333333333334,35.355190166083474,0.9663797367587645,-32.012865556731036
8,0.26666666666666666,-0.540572029136295,-6.157323390469236,-3.0243385558585514
9,0.3,-19.348147436186125,-2.1625392943222224,-17.69585782865848
10,0.3333333333333333,-21.139314760899826,2.674430564419659,-20.42695861571242
11,0.36666666666666664,-22.53404276519522,2.216570975829219,-20.10915355229899
12,0.4,-44.34138502984271,10.54266933987861,-23.282630754139195
13,0.43333333333333335,-44.16749950411737,11.741611757599317,-24.60949399630246
14,0.4666666666666667,-60.40017116789326,2.9165965110542116,-12.811801099467361
15,0.5,-69.15132181065012,8.25482248939783,-16.440819925965872
16,0.5333333333333333,-70.04204885561795,12.742114400853396,-19.3855342269394
17,0.5666666666666667,-70.4654300069981,9.67060715497894,-16.465872003700035
18,0.6,-78.4329687084681,33.82568352129248,-40.43024586797485
19,0.6333333333333333,-77.00080402402168,35.374296582868794,-39.22652400951292
20,0.6666666666666666,-79.0847961241879,60.886950014974424,-62.96331214652446
21,0.7,-78.79042996635005,60.425125889346155,-62.64091902302695
22,0.7333333333333333,-80.15659306312189,58.98107655202021,-59.25691422126478
23,0.7666666666666667,-78.95560684686544,83.73267445632936,-81.19164733304063
24,0.8,-78.38785340342008,87.06486904040234,-82.85043785848438
25,0.8333333333333334,-78.2416452808988,82.87552993725637,-78.89251244817382
26,0.8666666666666667,-78.2205985904198,89.4168476956608,-82.16504807851314
27,0.9,-75.71663935263567,91.03696466885624,-84.57790417349065
28,0.9333333333333333,-76.24460272624195,91.74196141002496,-83.43773904595754
29,0.9666666666666667,-75.57511184407862,95.84604619712135,-86.17779874944296
30,1.0,-74.65410747833647,94.537054805513,-84.79089672325635
31,1.0333333333333334,-75.2582434983279,97.98528850872074,-88.79895015984295
32,1.0666666666666667,-76.2980471437876,102.79578160327587,-95.13025937068313
33,1.1,-76.82337259588134,106.5489980679717,-99.1418615184585
