frame,time,x,y,x_vel,y_vel,x_acc,y_acc,yaw,pitch,roll,yaw_vel,pitch_vel,roll_vel,yaw_acc,pitch_acc,roll_acc
1.0,0.004166666666666667,,,,,,,,,,,,,,,
2.0,0.008333333333333333,,,,,,,,,,,,,,,
3.0,0.0125,,,,,,,,,,,,,,,
4.0,0.016666666666666666,,,,,,,,,,,,,,,
5.0,0.020833333333333332,,,,,,,,,,,,,,,
6.0,0.025,,,,,,,,,,,,,,,
7.0,0.029166666666666667,,,,,,,,,,,,,,,
8.0,0.03333333333333333,,,,,,,,,,,,,,,
9.0,0.0375,,,,,,,,,,,,,,,
10.0,0.041666666666666664,,,,,,,,,,,,,,,
11.0,0.04583333333333333,,,,,,,,,,,,,,,
12.0,0.05,,,,,,,,,,,,,,,
13.0,0.05416666666666667,,,,,,,,,,,,,,,
14.0,0.058333333333333334,,,,,,,,,,,,,,,
15.0,0.0625,,,,,,,,,,,,,,,
16.0,0.06666666666666667,,,,,,,,,,,,,,,
17.0,0.07083333333333333,,,,,,,,,,,,,,,
18.0,0.075,,,,,,,,,,,,,,,
19.0,0.07916666666666666,,,,,,,,,,,,,,,
20.0,0.08333333333333333,,,,,,,,,,,,,,,
21.0,0.0875,,,,,,,,,,,,,,,
22.0,0.09166666666666666,,,,,,,,,,,,,,,
23.0,0.09583333333333334,,,,,,,,,,,,,,,
24.0,0.1,,,,,,,,,,,,,,,
25.0,0.10416666666666667,,,,,,,,,,,,,,,
26.0,0.10833333333333334,,,,,,,,,,,,,,,
27.0,0.1125,,,,,,,,,,,,,,,
28.0,0.11666666666666667,,,,,,,,,,,,,,,
29.0,0.12083333333333333,,,,,,,,,,,,,,,
30.0,0.125,,,,,,,,,,,,,,,
31.0,0.12916666666666668,,,,,,,,,,,,,,,
32.0,0.13333333333333333,,,,,,,,,,,,,,,
33.0,0.1375,,,,,,,,,,,,,,,
34.0,0.14166666666666666,,,,,,,,,,,,,,,
35.0,0.14583333333333334,,,,,,,,,,,,,,,
36.0,0.15,,,,,,,,,,,,,,,
37.0,0.15416666666666667,,,,,,,,,,,,,,,
38.0,0.15833333333333333,,,,,,,,,,,,,,,
39.0,0.1625,,,,,,,,,,,,,,,
40.0,0.16666666666666666,,,,,,,,,,,,,,,
41.0,0.17083333333333334,,,,,,,,,,,,,,,
42.0,0.175,,,,,,,,,,,,,,,
43.0,0.17916666666666667,,,,,,,,,,,,,,,
44.0,0.18333333333333332,,,,,,,,,,,,,,,
45.0,0.1875,,,,,,,,,,,,,,,
46.0,0.19166666666666668,,,,,,,,,,,,,,,
47.0,0.19583333333333333,,,,,,,,,,,,,,,
48.0,0.2,,,,,,,,,,,,,,,
49.0,0.20416666666666666,,,,,,,,,,,,,,,
50.0,0.20833333333333334,,,,,,,,,,,,,,,
51.0,0.2125,,,,,,,,,,,,,,,
52.0,0.21666666666666667,,,,,,,,,,,,,,,
53.0,0.22083333333333333,,,,,,,,,,,,,,,
54.0,0.225,,,,,,,,,,,,,,,
55.0,0.22916666666666666,,,,,,,,,,,,,,,
56.0,0.23333333333333334,,,,,,,,,,,,,,,
57.0,0.2375,,,,,,,,,,,,,,,
58.0,0.24166666666666667,282.9273504273504,387.2713675213675,,,,,-22.184539577892874,10.52439371021552,1.0582135870083147,,,,,,
59.0,0.24583333333333332,281.2542735042735,371.9871794871795,-40.13424935240413,-366.6414886561289,,,-15.103707633387431,21.259479244630427,1.6284800019752466,169.85702866585237,257.51631243902466,13.679714411154043,,,
60.0,0.25,282.3076923076923,371.70299145299145,22.92583539597963,-6.184860258956164,1372.393504184663,7844.714090164043,-17.043531385883796,17.784892975537957,3.223010890577728,-42.21690357397372,-75.61835104501579,34.7022025497029,-4615.42175488902,-5342.346397038319,-2941.410658756928
61.0,0.25416666666666665,280.62179487179486,371.3226495726496,-40.657112722797905,-9.172327078146425,-1533.3667599635532,-72.04576781314033,-15.74140335869307,19.399336526678752,3.6490690797937604,31.402127349950955,38.93393040744725,10.274821858428272,1775.396993366802,1957.0340012856905,1265.8907668266545
62.0,0.25833333333333336,280.4978632478632,371.18589743589746,-2.9855943596276453,-3.2944489485542183,907.5316628282844,141.6019514112812,-14.223840139876032,19.455915289463803,3.7410350156741714,36.55909640123591,1.363019620713886,2.2155199030869386,124.2347774026059,-723.6618690168,-703.1245763235491
63.0,0.2625,280.59615384615387,371.0769230769231,2.384470540174033,-2.643652120626593,130.27453057652536,15.787937918980129,-14.873796308351698,19.533827254589482,3.973627215152448,-15.767544028492388,1.8900972097036153,5.642546257478761,-1269.4126878953066,-841.0489778999888,-750.0168307411546
64.0,0.26666666666666666,281.0042735042735,370.97435897435895,9.87230042060649,-2.4809969643420855,181.1285112278385,3.9345827525187733,-15.4094229835602,18.68832700897292,3.949545227243443,-12.956659513320785,-20.45241454156208,-0.5825365542510126,67.99451050522697,-113.32570783225448,367.3210851091198
65.0,0.2708333333333333,281.34615384615387,370.86965811965814,7.962761883309823,-2.4385958267623757,-44.47521198752544,0.9875682242263355,-15.993364798425654,18.996608920266425,4.211826302130255,-13.60063465453202,7.180218198742771,6.1088091065295655,-14.99887557158874,469.00959971134824,444.0553264296976
66.0,0.275,281.5811965811966,370.6068376068376,5.467506800884276,-6.113666695535438,-58.04401540265766,-85.48860259431494,-15.938260608566262,20.193217635533387,4.01783562456867,1.2818202305154394,27.835220210189608,-4.512563847945837,346.192037303596,963.8707541083439,211.40448749839246
67.0,0.2791666666666667,281.7542735042735,370.55555555555554,4.037246152990142,-1.1962210823674004,-33.362704835687445,114.70586622041685,-16.72689436547057,20.09882689201703,4.1746588657869355,-18.395916362375676,-2.20178784880501,3.6581077133348203,-459.009005630997,-81.25972583018786,55.43002110193682
